FID,COUNTYFP,SUM_DP0080,SUM_tot_po,perc_pop,perc_mom,black_co,mom_diff,black_diff,County
0,1,373491,357713.4749,0.96,0.96,0.97,0.00,0.01,Albany
1,3,274746,253860.497,0.92,0.92,0.97,0.00,0.05,Allegany
2,5,1435664,1415976.579,0.99,1.00,1.00,0.01,0.01,Bronx
3,7,316388,305302.5565,0.96,0.97,0.99,0.01,0.03,Broome
4,9,436820,328315.6852,0.75,0.77,0.67,0.01,-0.08,Cattaraugus
5,11,211356,184133.8333,0.87,0.90,0.92,0.03,0.05,Cayuga
6,13,305899,246675.0548,0.81,0.83,0.86,0.02,0.05,Chautauqua
7,15,220555,200064.07,0.91,0.94,0.91,0.04,0.00,Chemung
8,17,264364,249545.2834,0.94,0.95,0.93,0.00,-0.01,Chenango
9,19,170980,95997.37504,0.56,0.60,0.29,0.04,-0.27,Clinton
10,21,123277,97772.75622,0.79,0.80,0.78,0.01,-0.02,Columbia
11,23,151973,142002.4498,0.93,0.95,0.97,0.01,0.04,Cortland
12,25,128357,85742.00524,0.67,0.67,0.67,0.00,0.00,Delaware
13,27,628550,431998.957,0.69,0.74,0.81,0.06,0.12,Dutchess
14,29,1421056,1366585.464,0.96,0.96,0.98,0.00,0.01,Erie
15,31,91783,29022.90519,0.32,0.32,0.21,0.01,-0.10,Essex
16,33,146644,59053.69327,0.40,0.46,0.30,0.05,-0.11,Franklin
17,35,128602,109146.6796,0.85,0.89,0.95,0.04,0.10,Fulton
18,37,161823,156618.32,0.97,0.98,0.93,0.01,-0.04,Genesee
19,39,83133,51298.9734,0.62,0.62,0.84,0.00,0.22,Greene
20,41,15717,1387.052129,0.09,0.10,0.12,0.02,0.03,Hamilton
21,43,149547,117597.1017,0.79,0.83,0.89,0.04,0.11,Herkimer
22,45,527258,423813.002,0.80,0.84,0.91,0.04,0.10,Jefferson
23,47,2534553,2511916.857,0.99,0.99,1.00,0.00,0.01,Kings
24,49,138009,67329.08767,0.49,0.51,0.57,0.02,0.08,Lewis
25,51,192154,166818.9274,0.87,0.88,0.92,0.01,0.05,Livingston
26,53,275870,266867.2846,0.97,0.97,0.99,0.00,0.02,Madison
27,55,1172479,1154964.344,0.99,0.99,0.99,0.00,0.01,Monroe
28,57,181177,162028.9209,0.89,0.93,0.94,0.03,0.05,Montgomery
29,59,1508149,1445572.052,0.96,0.97,0.99,0.01,0.03,Nassau
30,61,1622835,1511004.719,0.93,0.94,0.94,0.01,0.01,New York
31,63,273900,257171.9522,0.94,0.94,0.95,0.01,0.01,Niagara
32,65,353941,333206.0455,0.94,0.96,0.99,0.02,0.05,Oneida
33,67,583151,572887.7505,0.98,0.99,1.00,0.01,0.02,Onondaga
34,69,186264,151710.9308,0.81,0.85,0.95,0.04,0.13,Ontario
35,71,542307,484611.4718,0.89,0.90,0.91,0.01,0.02,Orange
36,73,145985,135452.2389,0.93,0.94,0.98,0.01,0.05,Orleans
37,75,254467,217636.9847,0.86,0.87,0.86,0.01,0.00,Oswego
38,77,151175,122316.1784,0.81,0.80,0.88,-0.01,0.07,Otsego
39,79,133524,110606.8551,0.83,0.83,0.86,0.00,0.03,Putnam
40,81,2321197,2291478.356,0.99,0.98,0.98,-0.01,0.00,Queens
41,83,252507,232536.8763,0.92,0.95,0.98,0.03,0.06,Rensselaer
42,85,468730,427594.5095,0.91,0.90,0.89,-0.01,-0.02,Richmond
43,87,354995,308737.1151,0.87,0.84,0.90,-0.03,0.04,Rockland
44,89,229783,131152.5514,0.57,0.59,0.76,0.02,0.19,St. Lawrence
45,91,288781,265478.7131,0.92,0.93,0.97,0.01,0.05,Saratoga
46,93,258878,246766.2059,0.95,0.98,1.00,0.02,0.04,Schenectady
47,95,104730,76543.03202,0.73,0.77,0.75,0.04,0.02,Schoharie
48,97,86308,68720.38682,0.80,0.84,0.75,0.04,-0.05,Schuyler
49,99,95179,68307.32198,0.72,0.81,0.50,0.09,-0.22,Seneca
50,101,235216,173436.8511,0.74,0.79,0.83,0.06,0.09,Steuben
51,103,1797732,1634650.588,0.91,0.91,0.96,0.00,0.05,Suffolk
52,105,138264,95073.36695,0.69,0.76,0.86,0.07,0.17,Sullivan
53,107,173472,153759.3374,0.89,0.89,0.84,0.00,-0.04,Tioga
54,109,277453,249897.9082,0.90,0.90,0.93,0.00,0.03,Tompkins
55,111,245518,190340.9247,0.78,0.79,0.84,0.01,0.06,Ulster
56,113,90819,68050.07998,0.75,0.80,0.88,0.05,0.14,Warren
57,115,165378,131763.8958,0.80,0.84,0.46,0.05,-0.33,Washington
58,117,184687,170076.4172,0.92,0.93,0.93,0.01,0.01,Wayne
59,119,1036749,918532.1212,0.89,0.90,0.92,0.01,0.04,Westchester
60,121,114171,101710.6553,0.89,0.91,0.83,0.02,-0.06,Wyoming
61,123,101062,64387.34955,0.64,0.67,0.67,0.03,0.03,Yates